name,display_name,category,diet_type,is_allergen,allergen_type,is_jain_compatible,is_vegan,common_unit,is_common,is_active,description,is_updated,last_update_date,is_review
baby_corn,Baby Corn,vegetable,veg,N,,Y,Y,grams,N,Y,Indo-Chinese dishes stir-fry manchurian. Restaurant staple.,N,,N
spring_onion,Spring Onion (Hara Pyaaz),vegetable,veg,N,,N,Y,bunch,N,Y,Garnish stir-fry Indo-Chinese. Not Jain (onion family).,N,,N
spinach,Spinach (Palak),leafy_green,veg,N,,Y,Y,bunch,Y,Y,Palak paneer palak dal saag. Iron-rich. Year-round.,N,,N
fenugreek_leaves,Fenugreek Leaves (Methi),leafy_green,veg,N,,Y,Y,bunch,N,Y,Methi paratha methi sabzi methi chicken. Slightly bitter aromatic.,N,,N
mustard_greens,Mustard Greens (Sarson),leafy_green,veg,N,,Y,Y,bunch,N,Y,Sarson ka saag. Winter Punjabi staple. Paired with makki ki roti.,N,,N
amaranth_leaves,Amaranth Leaves (Chaulai),leafy_green,veg,N,,Y,Y,bunch,N,Y,Chaulai ki sabzi. Nutritious. Common in UP Bihar Maharashtra.,N,,N
curry_leaves,Curry Leaves (Kadi Patta),herb_aromatic,veg,N,,Y,Y,leaves,Y,Y,Tempering essential in South Indian cooking. Sambhar rasam chutney.,N,,N
coriander_leaves,Coriander Leaves (Dhaniya Patti),herb_aromatic,veg,N,,Y,Y,bunch,Y,Y,Most used garnish in Indian cooking. Chutneys curries rice dishes.,N,,N
mint_leaves,Mint Leaves (Pudina),herb_aromatic,veg,N,,Y,Y,bunch,N,Y,Green chutney biryani raita cooling drinks. Fresh aromatic herb.,N,,N
ginger,Ginger (Adrak),herb_aromatic,veg,N,,N,Y,grams,Y,Y,Root — not Jain. Base paste with garlic. Chai gravies marinades.,N,,N
garlic,Garlic (Lahsun),herb_aromatic,veg,N,,N,Y,grams,Y,Y,Not Jain-compatible. Ginger-garlic paste base. Most non-Jain Indian cooking.,N,,N
lemongrass,Lemongrass,herb_aromatic,veg,N,,Y,Y,pieces,N,Y,Thai curries soups teas. Growing in Indian fusion cooking.,N,,N
oregano,Oregano,herb_aromatic,veg,N,,Y,Y,tsp,N,Y,Pizza pasta Italian seasoning. Common in urban Indian kitchens.,N,,N
paan_leaves,Paan Leaves (Betel Leaf),herb_aromatic,veg,N,,Y,Y,pieces,N,Y,Paan paan-flavoured kulfi paan shots. Cultural significance.,N,,N
banana_leaf,Banana Leaf,herb_aromatic,veg,N,,Y,Y,pieces,N,Y,Serving plate in South India. Also used to wrap and steam food.,N,,N
toor_dal,Toor Dal (Arhar),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Most common dal in India. Sambar dal fry dal tadka.,N,,N
chana_dal,Chana Dal (Split Chickpea),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Chana dal fry puran poli filling kadhi pakora base. Nutty flavour.,N,,N
moong_dal,Moong Dal (Split Green Gram),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Light and easy to digest. Moong dal tadka khichdi cheela halwa.,N,,N
urad_dal,Urad Dal (Black Gram),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Dal makhani idli-dosa batter medu vada. Creamy texture when cooked.,N,,N
masoor_dal,Masoor Dal (Red Lentil),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Quick-cooking. Everyday dal in North and East India.,N,,N
chickpeas,Chickpeas (Chole/Kabuli Chana),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Chole bhature chana masala hummus chaat. Protein-rich.,N,,N
kidney_beans,Kidney Beans (Rajma),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Rajma chawal. North Indian comfort food. Must be pressure-cooked.,N,,N
black_eyed_peas,Black-Eyed Peas (Lobia),lentil_legume,veg,N,,Y,Y,grams,N,Y,Lobia curry salad. Common in Punjabi and South Indian cooking.,N,,N
green_gram_whole,Green Gram Whole (Sabut Moong),lentil_legume,veg,N,,Y,Y,grams,N,Y,Sprouted moong salad sabut moong dal. High protein.,N,,N
black_chickpeas,Black Chickpeas (Kala Chana),lentil_legume,veg,N,,Y,Y,grams,N,Y,Chana chaat kala chana curry. More earthy than kabuli chana.,N,,N
val_dal,Val Dal (Field Bean),lentil_legume,veg,N,,Y,Y,grams,N,Y,Gujarati and Maharashtrian dal. Usal amti.,N,,N
moth_beans,Moth Beans (Matki),lentil_legume,veg,N,,Y,Y,grams,N,Y,Misal pav base sprouted salad. Maharashtrian staple.,N,,N
horse_gram,Horse Gram (Kulthi),lentil_legume,veg,N,,Y,Y,grams,N,Y,South Indian rasam Maharashtrian usal. High protein earthy.,N,,N
black_lentil,Black Lentil (Sabut Urad),lentil_legume,veg,N,,Y,Y,grams,N,Y,Dal makhani base. Whole black gram. Slow-cooked with rajma.,N,,N
tofu,Tofu,lentil_legume,veg,Y,soy,Y,Y,grams,N,Y,Vegan protein. Stir-fry curry scramble. Growing in urban India.,N,,N
rice_basmati,Basmati Rice,grain_flour,veg,N,,Y,Y,grams,Y,Y,Long grain aromatic. Biryani pulao jeera rice. Premium rice.,N,,N
rice_regular,Regular Rice (Chawal),grain_flour,veg,N,,Y,Y,grams,Y,Y,Everyday rice. Steamed curd rice khichdi. Staple across India.,N,,N
rice_flattened,Flattened Rice (Poha),grain_flour,veg,N,,Y,Y,grams,N,Y,Poha chivda. Quick breakfast. Indore and Maharashtra staple.,N,,N
rice_puffed,Puffed Rice (Murmura),grain_flour,veg,N,,Y,Y,grams,N,Y,Bhel puri jhalmuri chivda. Light snack base.,N,,N
wheat_flour,Whole Wheat Flour (Atta),grain_flour,veg,Y,gluten,Y,Y,grams,Y,Y,Roti paratha puri. Daily staple across North India.,N,,N
refined_flour,Refined Flour (Maida),grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Naan bhatura samosa jalebi cakes. White flour.,N,,N
gram_flour,Gram Flour (Besan),grain_flour,veg,N,,Y,Y,grams,Y,Y,Pakora kadhi chilla laddoo sev. Chickpea-based. Gluten-free.,N,,N
semolina,Semolina (Suji/Rava),grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Upma halwa rava dosa sheera. Wheat derivative.,N,,N
cornmeal,Cornmeal (Makki ka Atta),grain_flour,veg,N,,Y,Y,grams,N,Y,Makki ki roti. Punjabi winter staple with sarson ka saag.,N,,N
ragi_flour,Ragi Flour (Finger Millet),grain_flour,veg,N,,Y,Y,grams,N,Y,Ragi mudde ragi dosa porridge. Karnataka staple. High calcium.,N,,N
bajra_flour,Bajra Flour (Pearl Millet),grain_flour,veg,N,,Y,Y,grams,N,Y,Bajra roti khichdi. Rajasthan and Gujarat winter staple.,N,,N
jowar_flour,Jowar Flour (Sorghum),grain_flour,veg,N,,Y,Y,grams,N,Y,Jolada rotti bhakri. Maharashtra and Karnataka. Gluten-free millet.,N,,N
sattu,Sattu (Roasted Gram Flour),grain_flour,veg,N,,Y,Y,grams,N,Y,Sattu paratha sattu drink litti filling. Bihar and UP staple.,N,,N
bread,Bread (Pav/Slice),grain_flour,veg,Y,gluten,Y,Y,pieces,N,Y,Pav bhaji vada pav bread pakora sandwich. Bakery staple.,N,,N
vermicelli,Vermicelli (Sevai/Semiya),grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Upma payasam sheer khurma sevai pulao.,N,,N
oats,Oats,grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Porridge oats chilla health food. Growing in urban India.,N,,N
tapioca,Tapioca (Sabudana),grain_flour,veg,N,,Y,Y,grams,N,Y,Sabudana khichdi vada kheer. Fasting food across India.,N,,N
rice_flour,Rice Flour (Chawal ka Atta),grain_flour,veg,N,,Y,Y,grams,N,Y,Appam neer dosa modak murukku. South Indian. Gluten-free.,N,,N
idli_rava,Idli Rava,grain_flour,veg,N,,Y,Y,grams,N,Y,Parboiled rice granules for idli batter. South Indian breakfast base.,N,,N
pasta,Pasta,grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Italian dishes adapted Indian style. Urban staple.,N,,N
noodles,Noodles,grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Hakka noodles maggi chow mein. Indo-Chinese and instant snack.,N,,N
panko_breadcrumbs,Breadcrumbs (Panko),grain_flour,veg,Y,gluten,Y,Y,grams,N,Y,Cutlets coating for frying tikkis. Crispy coating agent.,N,,N
spring_roll_wrapper,Spring Roll Wrapper,grain_flour,veg,Y,gluten,Y,Y,pieces,N,Y,Spring rolls samosa-style wraps. Indo-Chinese appetizer.,N,,N
maida_biscuit,Biscuit / Rusk,grain_flour,veg,Y,gluten,Y,N,pieces,N,Y,Chai companion dessert base. Contains dairy usually.,N,,N
milk,Milk (Doodh),dairy,veg,Y,dairy,Y,N,ml,Y,Y,Base for chai kheer paneer rabri lassi. Most used dairy product.,N,,N
curd,Curd / Yogurt (Dahi),dairy,veg,Y,dairy,Y,N,grams,Y,Y,Raita kadhi marinades lassi mishti doi. Daily staple.,N,,N
paneer,Paneer (Cottage Cheese),dairy,veg,Y,dairy,Y,N,grams,N,Y,Paneer butter masala palak paneer tikka. Vegetarian protein staple.,N,,N
cream,Cream (Malai),dairy,veg,Y,dairy,Y,N,ml,N,Y,Finishing touch for gravies and desserts.,N,,N
butter,Butter (Makhan),dairy,veg,Y,dairy,Y,N,grams,Y,Y,Pav bhaji butter chicken maska bun paranthas.,N,,N
ghee,Ghee (Clarified Butter),dairy,veg,Y,dairy,Y,N,tsp,Y,Y,Cooking fat tempering sweets dal finish. Sacred in Indian cooking.,N,,N
cheese,Cheese,dairy,veg,Y,dairy,Y,N,grams,N,Y,Pizza grilled sandwich pasta. Growing usage in urban Indian cooking.,N,,N
khoya,Khoya / Mawa,dairy,veg,Y,dairy,Y,N,grams,N,Y,Reduced milk solids. Gulab jamun barfi peda halwa. Sweet-making essential.,N,,N
condensed_milk,Condensed Milk,dairy,veg,Y,dairy,Y,N,ml,N,Y,Quick desserts rabri shortcut ice cream mithai.,N,,N
buttermilk,Buttermilk (Chaas),dairy,veg,Y,dairy,Y,N,ml,N,Y,Cooling drink. Chaas mattha. Digestive. Summer staple.,N,,N
yogurt_hung,Hung Curd (Chakka Dahi),dairy,veg,Y,dairy,Y,N,grams,N,Y,Shrikhand thick raita marinades. Strained yogurt.,N,,N
mozzarella,Mozzarella Cheese,dairy,veg,Y,dairy,Y,N,grams,N,Y,Pizza pasta garlic bread. Stretchy melting cheese.,N,,N
chicken,Chicken (Murgh),meat,non_veg,N,,N,N,grams,Y,Y,Most consumed meat in India. Curry biryani tandoori tikka kebab.,N,,N
mutton,Mutton / Goat (Gosht),meat,non_veg,N,,N,N,grams,N,Y,Rogan josh biryani keema nihari korma. Premium meat.,N,,N
lamb,Lamb,meat,non_veg,N,,N,N,grams,N,Y,Similar to mutton but younger animal. Kebabs chops curries.,N,,N
pork,Pork,meat,non_veg,N,,N,N,grams,N,Y,Goan vindaloo sorpotel Naga smoked pork. Regional.,N,,N
beef,Beef,meat,non_veg,N,,N,N,grams,N,Y,Kerala beef fry Goan beef curry. Regional and community-specific.,N,,N
fish_generic,Fish (Machhi),seafood,non_veg,Y,fish,N,N,grams,N,Y,Machher jhol fish fry fish curry. Bengali Goan Kerala staple.,N,,N
prawns,Prawns (Jhinga),seafood,non_veg,Y,shellfish,N,N,grams,N,Y,Prawn curry tandoori prawns. Coastal cuisines.,N,,N
crab,Crab (Kekda),seafood,non_veg,Y,shellfish,N,N,grams,N,Y,Crab curry crab masala. Coastal — Goan Mangalorean Kerala.,N,,N
pomfret,Pomfret,seafood,non_veg,Y,fish,N,N,pieces,N,Y,Fried pomfret tawa fry. Premium Indian fish. Mumbai and coastal.,N,,N
rohu,Rohu,seafood,non_veg,Y,fish,N,N,grams,N,Y,Bengali fish curry staple. Machher jhol rohu kalia.,N,,N
hilsa,Hilsa (Ilish),seafood,non_veg,Y,fish,N,N,pieces,N,Y,Shorshe ilish — Bengali delicacy. Seasonal monsoon. Premium.,N,,N
surmai,Surmai (King Mackerel),seafood,non_veg,Y,fish,N,N,grams,N,Y,Fish fry curry. Popular in Maharashtra and Goa.,N,,N
bangda,Bangda (Mackerel),seafood,non_veg,Y,fish,N,N,pieces,N,Y,Fried bangda curry. Affordable coastal fish.,N,,N
egg,Egg (Anda),egg,egg,Y,egg_allergen,N,N,pieces,Y,Y,Omelette egg curry anda bhurji boiled egg cakes. Universal protein.,N,,N
mustard_oil,Mustard Oil (Sarson Tel),oil_fat,veg,Y,mustard,Y,Y,ml,Y,Y,Bengali and North Indian cooking base. Pungent. Pickles fish.,N,,N
coconut_oil,Coconut Oil (Nariyal Tel),oil_fat,veg,N,,Y,Y,ml,N,Y,Kerala and South Indian cooking base.,N,,N
vegetable_oil,Vegetable Oil (Refined),oil_fat,veg,N,,Y,Y,ml,Y,Y,Generic cooking oil. Soybean sunflower canola blends. Most common.,N,,N
sesame_oil,Sesame Oil (Til Ka Tel),oil_fat,veg,Y,sesame,Y,Y,ml,N,Y,South Indian tempering Chinese cooking pickles. Nutty flavour.,N,,N
groundnut_oil,Groundnut Oil (Moongfali Tel),oil_fat,veg,Y,peanuts,Y,Y,ml,N,Y,Gujarati and Maharashtrian cooking. Deep frying.,N,,N
olive_oil,Olive Oil,oil_fat,veg,N,,Y,Y,ml,N,Y,Salads continental Mediterranean cooking. Growing in urban India.,N,,N
cashew,Cashew (Kaju),dry_fruit,veg,Y,tree_nuts,Y,Y,grams,N,Y,Gravy base barfi garnish. Cashew paste for Mughlai gravies.,N,,N
almond,Almond (Badam),dry_fruit,veg,Y,tree_nuts,Y,Y,grams,N,Y,Badam milk garnish barfi halwa. Soaked almonds — health food.,N,,N
pistachio,Pistachio (Pista),dry_fruit,veg,Y,tree_nuts,Y,Y,grams,N,Y,Garnish for sweets kulfi biryani. Premium nut.,N,,N
walnut,Walnut (Akhrot),dry_fruit,veg,Y,tree_nuts,Y,Y,grams,N,Y,Kashmiri cuisine salads desserts.,N,,N
peanut,Peanut (Moongfali),dry_fruit,veg,Y,peanuts,Y,Y,grams,N,Y,Chutney chikki poha topping Maharashtrian cooking. Cheap protein.,N,,N
coconut_fresh,Coconut Fresh (Nariyal),coconut,veg,N,,Y,Y,grams,N,Y,Chutney South Indian gravies sweets. Fresh grated or coconut milk.,N,,N
coconut_desiccated,Coconut Desiccated (Sookha Nariyal),coconut,veg,N,,Y,Y,grams,N,Y,Laddoo barfi chutney powder. Dried grated coconut.,N,,N
coconut_milk,Coconut Milk (Nariyal Doodh),coconut,veg,N,,Y,Y,ml,N,Y,Kerala curries appam stew Thai curries payasam. Vegan milk alternative.,N,,N
coconut_cream,Coconut Cream,coconut,veg,N,,Y,Y,ml,N,Y,Rich version of coconut milk. Curries desserts smoothies.,N,,N
dried_coconut,Dried Coconut (Copra),coconut,veg,N,,Y,Y,grams,N,Y,Coconut chutney Maharashtrian masala laddoo oil extraction.,N,,N
sesame_seeds,Sesame Seeds (Til),seed,veg,Y,sesame,Y,Y,tsp,N,Y,Til laddoo chutney garnish til rice. Makar Sankranti special.,N,,N
flax_seeds,Flax Seeds (Alsi),seed,veg,N,,Y,Y,tsp,N,Y,Health food smoothies laddoo. Growing in health-conscious kitchens.,N,,N
melon_seeds,Melon Seeds (Magaz),seed,veg,N,,Y,Y,grams,N,Y,Garnish for sweets Mughlai gravies. Light nutty flavour.,N,,N
dry_fruits_mixed,Mixed Dry Fruits,dry_fruit,veg,Y,tree_nuts,Y,Y,grams,N,Y,Garnish for sweets biryani kheer. Festive essential.,N,,N
lemon,Lemon (Nimbu),vegetable,veg,N,,Y,Y,pieces,Y,Y,Lemon rice nimbu pani garnish marinades. Universal souring agent.,N,,N
mango_raw,Raw Mango (Kacchi Kairi),vegetable,veg,N,,Y,Y,grams,N,Y,Aam panna pickle dal chutney. Summer staple.,N,,N
mango_ripe,Ripe Mango (Aam),fruit,veg,N,,Y,Y,pieces,N,Y,Aamras mango lassi mango kulfi desserts. King of fruits.,N,,N
banana_ripe,Ripe Banana (Kela),fruit,veg,N,,Y,Y,pieces,N,Y,Banana chips (Kerala) sheera smoothie. Offered in temples.,N,,N
pomegranate,Pomegranate (Anaar),fruit,veg,N,,Y,Y,grams,N,Y,Garnish raita chaat juice. Fresh arils as topping.,N,,N
dates,Dates (Khajoor),dry_fruit,veg,N,,Y,Y,pieces,N,Y,Sheer khurma energy balls chutneys. Natural sweetener.,N,,N
raisins,Raisins (Kishmish),dry_fruit,veg,N,,Y,Y,grams,N,Y,Pulao biryani garnish halwa laddoo. Sweet dried fruit.,N,,N
raw_papaya,Raw Papaya,fruit,veg,N,,Y,Y,grams,N,Y,Meat tenderizer (galouti kebab) papaya salad sabzi.,N,,N
tutti_frutti,Tutti Frutti,fruit,veg,N,,Y,Y,grams,N,Y,Ice cream biscuits bread bakery items. Candied papaya cubes.,N,,N
sugar,Sugar (Cheeni),sweetener,veg,N,,Y,Y,grams,Y,Y,Universal sweetener. Chai desserts syrups chutneys.,N,,N
jaggery,Jaggery (Gur),sweetener,veg,N,,Y,Y,grams,N,Y,Puran poli gur ka halwa chikki. Unrefined cane sugar.,N,,N
jaggery_liquid,Liquid Jaggery (Kakvi),sweetener,veg,N,,Y,Y,ml,N,Y,Maharashtrian sweetener. Puran poli modak goda masala companion.,N,,N
honey,Honey (Shahad),sweetener,veg,N,,Y,N,ml,N,Y,Not vegan (bee product). Drinks dressings desserts Ayurvedic use.,N,,N
soy_sauce,Soy Sauce,condiment,veg,Y,soy,Y,Y,ml,N,Y,Indo-Chinese cooking essential. Fried rice noodles manchurian.,N,,N
vinegar,Vinegar (Sirka),condiment,veg,N,,Y,Y,ml,N,Y,Goan cooking pickles Indo-Chinese. Acetic acid souring agent.,N,,N
tomato_ketchup,Tomato Ketchup,condiment,veg,N,,Y,Y,ml,N,Y,Condiment for samosa pakora sandwich. Not a cooking ingredient.,N,,N
pickle_generic,Pickle (Achaar),condiment,veg,N,,Y,Y,grams,N,Y,Mango lime chilli mixed pickles. Meal accompaniment.,N,,N
