name,display_name,cuisine_group,parent_cuisine,state_origin,description,tier,is_user_facing,is_active,is_updated,last_update_date,is_review
indian_bakery,Indian Bakery,street_food,,Pan-India,"Pav, khari biscuit, maska bun, nankhatai, plum cake.",tier_2,Y,Y,N,,Y
indo_chinese,Indo-Chinese,chinese_asian,,Pan-India (Kolkata origin),"Hakka noodles, manchurian, chilli chicken/paneer, fried rice.",tier_1,Y,Y,N,,Y
chinese_authentic,Chinese (Authentic),chinese_asian,,China,"Dim sum, mapo tofu, Sichuan. Growing in metros.",tier_2,Y,Y,N,,Y
indian_tibetan,Indian-Tibetan,chinese_asian,,Hill stations/NE,"Momos (Indian style), thukpa, tingmo. Tibetan base + Indian spices.",tier_2,Y,Y,N,,Y
continental,Continental,continental,,Europe (generic),"Indian catch-all for Western food. Grilled chicken, soups, salads, sandwiches.",tier_1,Y,Y,N,,Y
italian,Italian,italian,,Italy,"Pasta, pizza, risotto. Widely eaten in urban India.",tier_1,Y,Y,N,,Y
american,American,american,,USA,"Burgers, fries, mac and cheese, BBQ, pancakes.",tier_2,Y,N,N,,Y
mediterranean,Mediterranean,mediterranean,,Mediterranean region,"Grain bowls, grilled meats, olive oil based. Health-food trend.",tier_3,Y,N,N,,Y
anglo_indian,Anglo-Indian,anglo_indian,,Pan-India,"Mulligatawny soup, railway mutton curry, jhal frezi. British-Indian colonial fusion.",tier_3,N,N,N,,Y
thai,Thai,thai,,Thailand,"Pad thai, green/red curry, tom yum. Coconut base familiar to South Indians.",tier_2,Y,N,N,,Y
japanese,Japanese,japanese,,Japan,"Sushi, ramen, tempura, teriyaki. Niche but growing.",tier_3,Y,N,N,,Y
korean,Korean,korean,,South Korea,"Kimchi, bibimbap, Korean fried chicken. K-wave driving adoption in Gen Z.",tier_2,Y,N,N,,Y
middle_eastern_generic,Middle Eastern,middle_eastern,,Middle East,"Hummus, falafel, shawarma, kebab platters.",tier_2,Y,N,N,,Y
lebanese,Lebanese,middle_eastern,middle_eastern_generic,Lebanon,"Tabbouleh, manoushe, kibbeh. Often listed separately on Indian menus.",tier_3,N,N,N,,Y
bhutanese,Bhutanese,bhutanese,,Bhutan,"Ema datshi, phaksha paa. Chilli + cheese focused.",tier_3,Y,Y,Y,20-05-2026,Y
burmese,Burmese,burmese,,Burma,"Mohinga, khow suey, tea leaf salad. SE Asian + Indian fusion.",tier_3,Y,Y,Y,20-05-2026,Y
mexican,Mexican,mexican,,Mexico,"Tacos, burritos, quesadillas. Corn + beans + chilli.",tier_3,Y,Y,Y,20-05-2026,Y
vietnamese,Vietnamese,vietnamese,,Vietnam,"Pho, banh mi, spring rolls. Fresh herbs + light broths.",tier_3,Y,Y,Y,20-05-2026,Y
